Review,date,Location,CompoundScore,Sentiment
バスタブ付きのお部屋できちんと熱いお湯も出てゆっくりお風呂に入れました 町の中心部にあるホテルなのでどこに行くにも便利でした,2019-06-10,東京,0.0,0
near disney spring min walk facil clean like stay bewar timeshar offer,2019-06-09,NY,0.6369,1
great locat beauti ground n poolsstaff help nicew bavk,2019-06-07,Delray beach,0.7783,1
everyon courteou help everyth need room nice clean pool beauti could get ticket inform right guest servic valet servic quick help amaz time go back wyndham garden,2019-06-06,Kentucky,0.872,1
beauti immacul conveni close everyth,2019-06-04,Weston,0.0,0
terribl experi first book one night stay hotel sinc show competit price expedia websit fool pick buck differ end arriv hotel terribl surpris pay lobbi assist told mandatori dollar charg resort usag fee dollar self park fee dollar would gone total better hotel build old open type facil like motel kinda thing see pictur hotel book worst part wall thing hear everyth room room went sleep nois made either next room room top call mani time lobbi ask someth didnt terribl experi price couldnt sleep travel children want sleep night avoid hidden nasti fee forget hotel,2019-06-04,"Montreal, Canada",-0.6124,0
proxim hotel close subway good access sightse,2019-06-03,Buckinghamshire,0.4404,1
sever time properti continu return great locat great size room perfect kind travel,2019-06-03,Toronto,0.946,1
fantast locat forgiv detail could pick like worn fit loos bathroom furnitur,2019-06-03,London,0.4215,1
beauti resort pool lazi river minut disney resort,2019-06-02,Pa,0.0,0
nil date poor decor rude staff basic room worst view possibl locat worthwhil,2019-06-02,Royal Leamington-Spa,-0.8807,0
premium room accommod famili six perfectli especi two bathroom could use microwav,2019-05-29,"Lockport, NY",0.0,0
second time weve stay properti like conveni locat near idriv walkabl one thing didnt care visit lack umbrella pool mayb umbrella total surround two pool first time umbrella ever four loung chair summer degre given day littl shade necessari hot couldnt stay pool hour nowher retreat sun also pool towel lack well two day ask towel replenish sunday pool attend said would wait hour towel go back room take room towel use day lack peopl pool would probabl indic abscens shade towel issu other well come florida spend time pool abl love vacat certainli come play schedul next visit unless umbrella situat chang stay,2019-05-29,"Willoughby, OH",0.9367,1
get room great view biggest complaint resort fee pay extra check also charg bag concierg hold bag hour stay hotel countri world absolut first time ever charg servic think ridicul would stay,2019-05-28,"Seattle, WA",0.3612,1
properti clean look newth room size matchboxw arriv hr pass check inn start time room readi,2019-05-28,West reading pa,0.4019,1
love steam room sauna true resort experi standard hotel price would definit stay return area,2019-05-28,Naples,0.7906,1
staff polit profession check check howev facil room need repair mainten side rug need clean mainten room setup good howev window curtain hang ceil fall tub need repair mirror closet fractur breakfast good,2019-05-27,Thousand Oaks,0.8176,1
nice accommod conveni subwaytrain well restaur mattress extrem comfort pleasant surpris tryp help make stay big appl quit enjoy would definit stay,2019-05-27,New Britain,0.9393,1
much style nice seem newer lot thing broken,2019-05-27,Cincinnati,-0.0772,0
realli nice properti staff friendli help,2019-05-27,truro,0.6705,1
love properti nice ground super friendli staff locat perfect lot restaur around price point want shop easi afford get locat pool right size morn till earl afternoon quietest time busi peopl return day trip definit stay,2019-05-27,"Ocho Rios, Jamaica",0.9423,1
room modern great decor one plug close bed unplug alarm clock plug cpap machin put alarm clock across room,2019-05-26,seattle,0.0772,0
check breez front desk agent wonder knowledg got room thought door wasnt work soon realiz liter bodi slam door get insid funni first time becam bit inconveni check easi well super nice staff stay one night move anoth hotel disney properti conveni realiz left blanket hotel capl back next day ask get back one knew said would call us back took two day find eventu phone call pleasant whole thing unfortun alreadi left orlando ship us properti bit date function staff realli couldnt nicer stay despit minor event,2019-05-26,Jupiter,0.796,1
overal enjoy stay hotel hotel surround area beauti would stay,2019-05-25,"Dunedin ,Fl",0.4939,1
pro great environ minut away disney con park fee way expens,2019-05-25,Boston,0.6249,1
quarto confortável e bastant silencioso um ponto negativo foi pessoal da limpeza tentar entrar quarto enquanto eu ainda estava lá,2019-05-24,São Paulo,0.0,0
locat good rest dirti restaur tic toc worst custom servic ever,2019-05-24,Toronto,-0.296,0
nickel dime self park resort fee daili basi,2019-05-23,Miami,0.0,0
wyndham garden san jose good experi check companion name instead mine reason pleas accommod,2019-05-23,Tucson,0.4404,1
shower confus differ knob figur ok cant tell one cold hot water would perfectli warm would get cold water sudden hot ok two night cafe lobbi could better husband went get cup coffe stood open went across st starbuck room small well that get nyc especi sinc built pretti cool love gentlemen stand near elev show room key one wander hall isnt stay hotel profession staff lobbi nice lot seat wait rest upgrad room right across st madison squar garden went overal would stay conveni kind staff nice room two peopl stay day dont know would ok wish breakfast bar diner get busi thank,2019-05-23,Maryland,0.9837,1
hotel locat central howev servic staff recept realli poor take time serv n time short staff n super long wait rain usual hotel provid umbrella free charg hotel guest hotel charg us deposit stay hotel night n decid join day one night tour boston weekend n recheck hotel sunday one night move atlanta hv leav luggag concierg n hotel charg us per bag deposit weekend first time stay hotel keep bag asid chargethat realli shock us ask receipt told accept cash n receipt issu last see us strongli recommend anyon holiday stay hotel confirm happi holiday ruin,2019-05-23,Singapore,0.8555,1
bathroom way small price feel mini fridg microwav dark roast coffe dark roast coffe leas,2019-05-23,Burlington,0.0,0
self park dark room back load dock got late walk dark properti front pictur look nice room back disappoint,2019-05-23,"Clover, SC",0.0258,0
nonrefund reserv plan chang last minut arrang step daughter use room requir deposit sent document necessari deposit charg account day check couldnt find document email accord instruct made check huge hassl daughter staff less help everi time talk step daughter said room nice staff servic horribl wont stay futur,2019-05-22,Sacramento,0.7584,1
receptionist tri bait switch us room pick onlin got tri make pay ton fee facil charg bill expens worth date,2019-05-22,Wilkes-Barre/Scranton,0.128,0
small room great locat definit worth,2019-05-22,Oklahoma,0.7184,1
comodo limpio buena ubicación precio razon para la localización,2019-05-22,Puerto Rico,0.0,0
properti ok room small vallet park almost non exist find street park nightmar friendli accommod staff,2019-05-22,Cayman Islands,0.296,1
la ubicación del hotel es fantástica conserva la decoración ambient de lo año deberían actualizar lo baño e incluir un refrigerador en la habitacion,2019-05-21,Arabia Saudita,0.0,0
love locat littl worn date,2019-05-21,Halifax,0.4588,1
ive stay new yorker sever time everi time excel,2019-05-21,Delaware OH,0.4588,1
conveni train bu station clean check slow peopl wait get check tell free gift could done guest first long slow move line,2019-05-21,Philadelphia,0.836,1
lemplac cest le gro point fort cest prè de tout metro maci madison squar garden nou avon été déçu de la chambr eu un lit doubl alor que la réceptionn nou avait indiqué un lit king mai le pire cest la chaleur dan la chambr la climatis était défectueus il faisait degré pa dautr chambr dispo,2019-05-21,Québec,-0.128,0
staff help polit hotel locat perfect area walk distanc disney spring shuttl buse disney park,2019-05-21,Miami,0.7506,1
pool nice well cafe open night troubl staff call hotel ahead time ask hotel fee told werent got paid dollar fee question staff staff member rude unwil help listen concern buss also didnt run time park,2019-05-21,Detroit,0.5574,1
properti amaz ta ta bellmen great thing miss microwav room,2019-05-21,New Orleans,0.5423,1
like way check handl abdul front desk could get debit credit card work becam frustrat abl get go also state problem time expedia reserv,2019-05-20,Magee Ms,0.34,1
staff great clean bed comfort great locat definit go back,2019-05-20,Riverview,0.9246,1
staff extremli friendli help smart alway avail,2019-05-20,Las vegas,0.6597,1
australian famili two children yr holiday us visit disneyland california adventur park four day love stay wyndham garden hotel see posit comment hotel close enough minut direct walk outer secur point park visit either twice day break afternoon feel unsaf even pm world light show pm firework still lot peoplefamili walk back along us staff hotel genuin friendli help room clean kid love two outdoor pool luke warm warm temperatur great break park midafternoon loooov latt coffe cafe lobbi area big plu parent morn huge plu surround busi two supermarketspharmaci everyth youd want second walk blaze pizza across road good size wood fire pizza sauc chees two top went hawaiian enough adult two kid finish one awesom pizza crust staff busi happi realli good relax dine long flightday park went twice four night panda chines restaur row shop adjac hotel second walk realli good realli larg sweet sour chicken larg fri ri,2019-05-20,Western Australia,0.9899,1
ryd på rommet hver dag veldig sentralt subway ved siden av hotellet ingen bar eller restaur på hotellet litt slitent men beliggenheten med gå avstand til veldig mang severdighet gjør sett til ett yppeeøig utgangspunkt hva resortfeen skal dekk er ubegripelig trimrom er det de har,2019-05-19,Oslo,0.0,0
room nice bed comfi front desk staff great guy clean bathroom wasnt hot stop middl clean bathroom make cup coffe coffe guest hotel mean wait finish clean could use facil,2019-05-19,Carson City,0.9422,1
nice staff room small clean met need,2019-05-19,"Fresh Meadows, NY",0.6705,1
like clean comfort room extra larg bathroom,2019-05-19,Bakersfield,0.7717,1
everyth averag nice room luxuri feel,2019-05-18,Jacksonville,0.4215,1
hotel extrem afford beauti pool tea fantast poolsid restaur terrif food staff pleasant helpfulw love close disney spring shuttl servic park great hotel back,2019-05-18,Lake worth,0.9118,1
hotel great room alittl outdat,2019-05-18,"New hyde park, ny",0.6249,1
quiet clean walk restaur short ride jfk,2019-05-18,Plano TX,0.4019,1
great place stay friendli courteou staff clean comfort stylish room,2019-05-18,Temecula,0.8519,1
like properti secur felt safe go time staff downstair nice help downsid constant nois level vacuum middl night didnt sleep well stay,2019-05-17,Los angeles,0.8437,1
lobbi spaciou beauti first room given way small request small ice box medic staff tri instal fridg room electr plug tri call front desk didnt answer went lobbi request anoth room would accommod small refridger told sold room forc put medic ice last night next day pm given anoth room would accommod small fridg anoth problem room bathroom pedest sink mirror sink inch wide x foot long glass shelf nowher store product toiletri repack daili want small fridg coffe maker etc room pay fee item secur good housekeep staff friendli excel,2019-05-17,"Murrieta, CA",0.4767,1
custom servic wonder everyon nice restaur staff mist chang still nice next time town stay,2019-05-17,Jacksonville Florida,0.6808,1
love close park took famili three minut area felt safe walk night lit park area secur gate especi free free breakfast cafe offer breakfast sandwich deal work perfect us room nice felt new would definit stay next disney trip,2019-05-17,Fresno,0.9648,1
great locat quiet room walk distanc restaur disneyland comfort room would definit stay,2019-05-17,Apple valley ca,0.765,1
carpet hallway gross dirti pictur post hallway room paint room horribl area peel room dirti outlet plug dresser loos stain sheet,2019-05-16,Visalia Ca,-0.4767,0
oven bellboy water kettl hopeless hotel famili small bathroom hidden charg,2019-05-15,San Francisco,-0.4588,0
locat activ plan excel histor place modern touch,2019-05-15,Los Angeles,0.4588,1
staff wonder accommod late flight let us late checkout allow us leav rather larg bu park car park late,2019-05-15,CALOUNDRA,0.2263,1
good hotel friendli help staff room ok,2019-05-14,Frankfurt,0.7783,1
great locat clean hotel help friendli staff,2019-05-14,Manchester,0.8591,1
locat good add fee includ quot cost,2019-05-14,Edmonton,0.4404,1
except clean orderli staff extrem courteou help thing due environment condit certain aspect outsid worn need refresh paint job,2019-05-14,Miami,0.6486,1
everyth nice one hot tub day pool area pack,2019-05-14,Miami,0.4215,1
room small great area,2019-05-14,Fort Lauderdale,0.6249,1
room clean great view abl check initi check time plu pool amen spectacular,2019-05-13,Denver,0.7783,1
飯店整體物超所值折價時一晚約美金房間乾淨又舒適冷氣夠強房間內部照明稍微暗飯店附設的餐廳非常好吃唯一的缺點是當有人在走廊講話的時候房間內會聽得非常清楚很怕半夜有人在走廊上講電話,2019-05-13,ROC,0.0,0
love locat easi check check,2019-05-13,"Wichita, ks",0.6369,1
cant beat locat super close park disney spring buse great staff issu key neighbor staff respons cordial everytim reach bewar promot photo featur lobbi room main build there guarante wont end wing instead slightli outdat unit theyr still decent manag expect actual get properti plu your visit use room sleep great place stay,2019-05-13,Los Angeles,0.7314,1
quiet area great comfort bed great toiletri well busi,2019-05-13,Reno,0.9153,1
great staff clean hotel great locat walk distanc park next door plenti good food option starbuck cv across streetlov,2019-05-13,"san diego, ca.",0.93,1
good price point resort night close park good deal,2019-05-13,Jacksonville,0.7003,1
walk distanc disney spring free transport area park need better breakfast restaur,2019-05-11,New Hampshire,0.7351,1
excel locat friendli help staff nice clean room excel maid badli need refurbish poor decor carpet old tire,2019-05-10,Worcester,0.8779,1
close msgrustic well maintain staff friendli help,2019-05-10,"Williamsport, Pa",0.5859,1
locat great nice restaur close quit area nice getaway,2019-05-10,Stockton,0.8658,1
leieder war da person bereit bei check unfreundlich und wollten un zu zweit erst nicht zimmer lassen mit der aussag ein queensizeb room sei zu klein dies wollten un ein weiter zimmer verkaufen jedoch haben wir dies gebucht nach einer umfangreichen diskurs haben wir dann endlich die schlüsselkart erhalten da frühstück war leider auch nicht zufriedenstellend all von plastik und pappgeschi,2019-05-10,Germany,-0.9136,0
trè bel hôtel bien situé avec un personnel dévoué toujour à lécout de no besoin trè bel terrass sur le toit bell vue de chambr soho littl itali chinatown tou à quelqu minut de march,2019-05-09,Montréal,-0.296,0
drawer cloth storag room fridg microwav luggag cart get thing room doorman charg earli check ran hot water morn sink drain slow close enough time squar warrant lack conveni higher cost,2019-05-09,"Kent, Ohio",-0.3182,0
peopl friendli hallway best condit room small might hotel room like new york,2019-05-09,Winnipeg,0.7717,1
realli like histori build littl museum basement quit inform found inform staff littl unfriendli help felt inconvenienc ask question checkin staff housekeep staff great alway smile,2019-05-09,Calgary,0.8957,1
hotel block time squar feel safe sinc polic station next door hotel well maintain park fee step entranc strong recommend hotel everyon especi famili six peopl fit great insid room book didnt breakfast hotel rate breakfastrestaur relat servic mani place around tri differ breakfastm everi day didnt chanc eat hotel restaur,2019-05-09,"Bellizzi, it",0.926,1
locat price awesom unfortun mani staff outsid front desk spoke english hopelessli lost need help properti worn unclean need updat guest room definit look littl wors wear fuest stayi g loud shout curs word outsid window hour fault hotel persay thing could done curb behavior overal ok experi far worst best ive id stay didnt option,2019-05-08,"High Point, us",-0.296,0
like locat close air port like hotel elev insid hotel,2019-05-07,Plano,0.6124,1
carpet dirti refriger made much highpitch nois unplug ac fan noisi shut peopl shout swim pm unaccept stay wyndham garden inn,2019-05-07,Philadelphia,0.3182,1
overal stay ok hotel old pool hot tub pleas lot space couch lobbi wait sever hour checkin disappoint saw one night staff frontcheckin desk floss teeth disgust,2019-05-07,"Fort Lauderdale, Florida",-0.6597,0
nan,2019-05-07,Gallipoli is a small Island with a Radius of 500m,0.0,0
next lot use homeless camp tent garbag everywher move two time due air condition work toilet run towel left pool rough crowd around area end woke peopl fight morn outsid door,2019-05-06,US,-0.3818,0
two doubl bed room huge actual room view love,2019-05-06,Alabama,0.7579,1
like e ception breakfast much money okay food,2019-05-06,Scarborough Me,0.5267,1
check fast easi room nice clean everi time enter room problem,2019-05-06,Fresno ca,0.4215,1
room realli nice oper window fresh air good bed clean linen realli like dont carpet room hotel carpet becom seriou health hazzard mold park difficult good warm breakfast dish littl bland price went recent didnt give top rate,2019-05-06,"cary, NC",0.9171,1
muy bien el hotel en gener unicament la habitacion parecen de juguet son super chica,2019-05-05,"Aguascalientes, Mexico",0.5994,1
heard properti manag sinc last stay happi pleas wyndham properti pleasant stay visit san jose keep great job,2019-05-05,"South Orang, us",0.8126,1
good place star definit book,2019-05-05,San Jose ca,0.4404,1
clean bright happi appreci front desk staff accommod group,2019-05-05,"Bay Area, CA",0.6808,1
realli enjoy stay minor issu room refriger,2019-05-05,"Irvine, ca",0.4939,1
hotel staff friendli inform room smaller thought would could fault cleanli room servic provid,2019-05-04,Carluke South lanarkshire,-0.4019,0
histor authent art deco hotel lavish feel like real new york besid intang exceedingli wellloc transport conveni museum theater also alway appreci trattoria bianca tasti unfussi meal probabl one least costli hotel midtown,2019-05-04,"Santa Barbara, us",0.3612,1
great place great area great staff paid park love,2019-05-03,Jacksonville fl,0.9552,1
three night stay second third morn woke numer bug bite exact mosquito bite look pictur internet look like bed bug bite checkout complain person checkout desk seem care basic blew ask speak manag duti show bite took pictur arm leg neck took contact inform said go check room get back also look like make monday morn thursday morn heard back stay hotel sever time close disney spring futur look properti disappoint hard believ treat poorli noth like ruin disney vacat aggrav itch park,2019-05-02,Ft. Lauderdale,0.4588,1
beauti hotel clean friendlyveri accommod pool great super bar food menu bell servic help room well taken care,2019-05-02,"Warminster, Pa, us",0.9565,1
great hotel clean decent price work famili stay close famili fresh meadow without crash littl place,2019-05-02,"Holderness, NH",0.8849,1
didnt like much aw mismatch decor scari peopl stay hotel one answer phone terribl price valu,2019-05-02,NYC,-0.2755,0
room pleas eye king bed comfort tri get room away elev elev wasnt noisi ding door open notic sinc get earli didnt take away pleasant stay mani peopl werent use late night,2019-05-02,"Las Vegas, NV",-0.0521,0
good valu price would stay wish food option past pm,2019-05-01,Vegas,0.6808,1
love hotel stay twice perfect locat room small clean need excel hour diner love staff friendli love,2019-05-01,"La Canada, CA",0.9719,1
locat central travel plan concert madison squar garden night pleasantli surpris nois bothersom th floor room small frill clean adequ need overal would recommend,2019-05-01,"New Haven, CT",0.6369,1
great locat old nyc style staff alway pleasant,2019-05-01,"Scituate, MA",0.8126,1
abl give expedia price check hotel tire worn,2019-05-01,Seattle,-0.296,0
great locat onlin say south time squar close walk worth money shower door strip fall staff forgot put wash cloth bathroom wife return even rat cross sidewalk front us feet reach hotel front door staff said respons thing outsid hotel small coffe restaur guest,2019-05-01,Roseville Ca.,0.7269,1
absolut perfect view amaz arriv staff friendli quick made sure taken care,2019-04-30,"New Boston, MI",0.8481,1
found facil offer wyndham bonnet creek properti fantast lazi river mini golf bbq area eateri great place relax full day disney world road univers park min drive away also lot plan activ around complex hotel dint realli advis actual found activ area one tower im sure would advis us ask recept coupl downsid laundri facil stay night need wash complex doesnt laundri drop servic could find min away drop pickup hr hous keep also let hotel threee day row kid bunk bed made coupl day towel replac taken replac daughter bed one night sheet blanket lot small thing pay good amount money also expect,2019-04-30,"Auckland, New Zealand",0.925,1
guy check us shouldnt hospit industri horribl attitud,2019-04-30,us,0.0,0
posizion comodavicino alla pennstat si raggiung tutto molto facilment,2019-04-30,Tesero,0.0,0
bed super comfort room nice clean,2019-04-30,Los Angeles,0.8979,1
no gusto que habia de todo lo necesario habia transportacioncomidafarmaciatienda el hotel el arededor no encanto tenemo nada negativo que decir,2019-04-30,"Aguadilla, P.R.",-0.5267,0
like pool hot tub locat import key resort everyth either walk distanc less drive major theme park,2019-04-30,"Long Island, NY",0.3612,1
food hotel tasti chef person attent hotel smell wonder pool area nice shuttl bu airport effici time,2019-04-29,Fort. Wayne Indiana,0.4215,1
got zero sleep due thin wall wall thin could smell neighbor cologn perfum put neighbor overli loud obnoxi wall thin hear man burp aw unfortun beauti lobbi pool cant get adequ sleep thise thing becom void normal stay b resort come decid tri pool kid wouldnt stay,2019-04-29,Key Largo,0.0,0
noth wrong properti luxuri well kept cleanli also plu staff howev incompet rude couldnt even pay fee check earli girl counter said call manag see room readi honestli feel like didnt want deal peopl kept wait elderli coupl check right got room everyon els forc wait pm didnt call manag phone text check elderli coupl answer person phone chat talk unprofession thing happen check need room hour get sleep didnt even stay whole night im wait counter least minut someon assist mind girl counter time around line one lobbi one actual phone custom obvious couldnt help fine one text phone complet ignor realli unsatisfi staff one one actual made feel like valu custom man check smile approach attent check time manner explain use shower breakfast hour need fire girl alway phone,2019-04-29,New York,-0.3971,0
third time stay kid love fact access four pool mini golf great activ howev time issu hous clean first day woke us earli continu knock open door second day left ton towel dress tabl third day room wasnt even made manag front desk staff excel genuin apolog manag duti person attend us clean even comp resort fee day properti excel locat servic cleanli amen top notch,2019-04-28,"Allentown, NJ",0.9661,1
hidden fee pay extra mention book expedia card enough pay expedia total room think id charg extra ridicul girl work registr idea answer question extra charg think name monica anyway ever stay steer anyon know away book wyndham,2019-04-28,"Williamston, NC",-0.2023,0
check around morn clerk gave us key room queensiz bed instead one book via expedia bed plu bunker bed soon found discrep rush front desk first man haughti told room type order paid even without apolog situat request partial refund refus said book room via expedia ask refund compens expedia hotel directli cross continu explain guy bunker bed promis daughter daughter frustrat mayb due persist last told last room book sinc guest hadnt show yet agre chang us room final move room bunker experi undergon unhappi say realli costli hotel unsatisfi custom servic synch charg think deserv apolog wont recommend,2019-04-28,"Short Hills, NJ",-0.2755,0
pretti much area around properti suck thought money would littl around,2019-04-28,"Oceanside, ca",-0.4404,0
wife love hotel great locat differ attract clean room great rooftop terrac go back ny definit go stay hotel,2019-04-28,"Montreal, ca",0.9559,1
nice pool area buy furnitur room broken paint chip room part hotel look old need renov hand staff beyond friendli staff rude unfriendli food drink outsid hotel supermarket theyr rip,2019-04-27,Newark,-0.0258,0
bell piscin beau hall dentré bâtiment désuet frai caché à larrivé,2019-04-27,Québec,0.0,0
room door dirt upholsteri dresser rip floor room entranc dusti around bathtub rusti good breakfast,2019-04-27,"Ell Paso, TX us",0.128,0
locat great staff accommod help,2019-04-26,"SF, CA",0.7783,1
conveni disney area park shop good hotel quick get away weekend fl resid relax top notch spa servic,2019-04-26,"WPB, FL",0.765,1
hôtel mythiqu emplac idéal à deux pa de l hudson yard,2019-04-26,Bordeaux,0.0,0
無料の送迎シャトルバスにてディズニーエリアまで行けます,2019-04-26,JAPAN,0.0,0
issu properti wasnt awar continent breakfast overheard someon discuss possibl signag,2019-04-26,Plattsburgh ny,0.0,0
hotel immacul clean access pool great sushi deep blu seafood grill wonder bed comfi great choic hotel stay definit worth money,2019-04-25,"Grand Rapids, Mn",0.9153,1
book room famili excit pictur beauti unfortun arriv expect throughout whole stay whole staff rude help properti like pictur run fall apart cabl wifi work time hot tub dirti half jet work definit wont recommend anyon,2019-04-25,fremont,0.0232,0
honest love hotel facilityresort fee ludicr wifi spotti best busi center antiqu dont use gym pay mani hotel dont charg includ fee price room rather tack end strang busi approach,2019-04-25,"Warren, RI",0.9185,1
love close disney spring walk multipl time pool ok wish would littl slide kid kid area pool room let much nois hard sleep put disturb sign daili still someon room gone park good visit long got back hotel earli two night couldnt find park upset someth pay extra daili felt abl park pay front desk help said daili park fee could use toward valet made littl easier deal spot overal good deal nice abl walk disney spring,2019-04-25,Minnesota,0.9611,1
bottom floor hotel garden section differ build seem creepi singl woman walk room walkway dimli lit one around felt uncomfort couldnt wait get room bed comfi bathroom although room size larg sink tini shower great counter space larg bathroom bathroom ceil lower bedroom area strang front desk staff effici realli friendli confus bu pickup transport theme park driver didnt speak english well,2019-04-25,"Union, NJ",0.27,1
haleigh front desk help cute,2019-04-25,"West Palm Beach, Florida",0.6908,1
would recommend expedia hotel includ addit amen charg day price rip peopl like go confer look competit price expedia water bottl cabl tv work,2019-04-25,Virginia,0.6124,1
nice clean convient locat take awhil answer phone otherwis polit inform staff,2019-04-24,"Queens, ny",0.6705,1
da hotel ist älter aber einem sauberen zustand die zimmer waren stet gereinigt da person freundlich und auch die lage de hotel war perfekt es war da meist fußläufig zu erreichen einzig manko ist dass aufgrund de alter de hotel die teppich etwa riechen,2019-04-23,"Linz, at",-0.9661,0
room realli date super small morn includ fridg microwav etc,2019-04-23,Suitland md,0.5994,1
room small ventil restroom caus lot moistur great locat staff,2019-04-23,"Riverside, California",0.6249,1
beauti art deco properti much histori staff excel excel servic profession definit make favorit hotel frequent trip new york,2019-04-23,"Port St. Lucie, Fl",0.7184,1
exel custum serviceclean comfortroom,2019-04-22,Apopka,0.0,0
love got earli check extra charg linda check absolut wonder highlight stay also love greeter open door didnt love anyth els hotel room small dark fan bathroom long hair back door smudg tub coffe adolescentcolleg kid super loud next room sound seem go right wall also hate servic fee wifi awar go charg fals advertis base price make distrust hate hotel getgo glad room nyc locat great im tri forget stay would never recommend,2019-04-22,Washington DC,0.9441,1
stay hotel night realli enjoy stay room stay third floor king bed includ mini fridg microwav bathroom nice clean bed super comfort pillow honestli dont anyth complain would definit stay worth price,2019-04-22,"Monterey, US",0.9525,1
unlik bigger hotel one right us room easi get right size properti well maintain staff awesom especi staci front desk back next time visit area,2019-04-22,Roseville CA,0.2732,1
properti old date given handicap room request,2019-04-21,Topeks Ks,0.0,0
good locat central locat access subway,2019-04-21,"Fredericton, New Brunswick, Canada",0.4404,1
great custom servic welcom will help,2019-04-21,"New York, ny",0.7783,1
disney shuttl servic nice close mani non disney restaur groceri store nightli clean servic excel fresh linen bed made clean towel,2019-04-21,"Mequon, Wi",0.91,1
proxim disney spring great pool also nice,2019-04-21,"san jose, us",0.7845,1
staff friendli nice chat room older smell carpet wasnt clean everyth room need updat paid expect,2019-04-21,Bozeman MT,0.1386,0
room avail sent anoth hotel smell terribl,2019-04-21,Nyc,0.0,0
wyndham garden anaheim neg trip central locat walk distanc disney amaz friendli staff front desk snackcoffe station restaur secur spotless updat well appoint gate park easi check fit center clean well equip cant say enough good thing properti,2019-04-21,"Spring, TX",0.7179,1
great place stay enjoy beauti courtyard,2019-04-20,Las Vegas,0.8074,1
realli near disney spring good hotel visit,2019-04-20,"Mayaguez, PR",0.4404,1
hotel bu stop near conveni need go nearest subway go somewher without car front desk staff friendli room bit small compar hotel neat clean first night checkedin late around pm valet park space hotel drive around neighborhood park car got valet park next night ok overal enjoy stay hotel,2019-04-20,Boston,0.836,1
superb staff great facil famili fantast stay highli recommend,2019-04-19,"Boston, MA",0.8934,1
great amen quick check conveni disney,2019-04-19,Myrtle Beach,0.6249,1
room nice room end hall far walk everyth even though wasnt book full restaur date separ build across park lot,2019-04-19,"Portland, OR USA",0.4215,1
way expect problem check staff way help plan return soon,2019-04-19,Ruskin,0.0,0
clean comfort lot outsid resort back,2019-04-18,Delray Beach Florida,0.6369,1
nice quiet relax busi day jacuzzi nice,2019-04-18,Seattle,0.8176,1
super reason nice staff extrem help pool facil clean,2019-04-18,"Cedar Bluffs, Ne",0.9022,1
room dirti air didnt work call sever time room servic one answer wouldnt recommend hotel,2019-04-18,St. Louis Mo,-0.2755,0
nice hotel stay clean fair price would definit repeat area,2019-04-17,kansas,0.7783,1
staff friendli help properti well kept great locat,2019-04-17,Greenville SC,0.836,1
absolut clean definit well kept insid properti,2019-04-17,"Canoga Park, us",0.5859,1
accommod everi request second time visit back,2019-04-16,West Suffield,0.0,0
hotel nice staff friendli,2019-04-16,"fort lauderdale, us",0.4215,1
nice room outsid rundown noisi anyon talk outsid room seem insid,2019-04-16,"San diego, us",0.4215,1
good locationnic ground pool area room tidi function,2019-04-16,"Falkirk,GB.",0.4404,1
everyth central locat plenti restaur right strip,2019-04-16,Michigan,0.0,0
opinion unaccept hotel room readi pm check time arriv pm plan famili shower travel leav pm get engag pm complain pm get room secondli call speak concierg ticket agent theme park discount ticket next day specif said would one day want visit one park ask discount purchas ticket agent hotel agent said ye discount check said ok wait purchas ticket therebi wait select fast pass option upon arrriv hotel found discount one day ticket agent conveni fee ticket expens purchas onlin id appreci honesti morn phone call instead duplic bright note room clean two experi would never stay pm check mean pm check especi spend roughli room night,2019-04-15,"Estero,FL",0.6808,1
properti carri name wyndham honestli refurbish hotel mayb motel room way standard price charg went busi trip fine wife would disappoint outsid hotel ground homeless encamp compani use name wyndham ploy opinion think would stay sorri,2019-04-15,"Simi Valley, CA (USA)",-0.2263,0
kidfamili friendli would like better restaur properti kid pool bar great close time rain cant help kid friendli restaur hotel altern,2019-04-15,Wisconsin,0.8043,1
wonder stay hotel staff courteou room nice decor clean got great valu room excel stay option anyon visit cupertino san jose gilroy area,2019-04-15,"Sacramento, us",0.9118,1
nice size larg famili subway station diner cv locat close,2019-04-15,Los Angeles,0.4215,1
first room small pictur microwav fridg room even though expedia said would staff brought cart fridg microwav put floor ac work bathroom door collaps slit middl open door touch bed vend machin stole money call lobbi use room phone one answer horribl stay,2019-04-15,NY NY,0.0,0
nice hotel howev music play pool pm music heard throughout properti extrem loud tend bit nuisanc music isnt nice mix sometim want relax pool sit outsid possibl,2019-04-14,Crown Point,0.8807,1
bar staff awesom stay hotel best part,2019-04-14,Irvine,0.6369,1
great resort pool close lot restaur,2019-04-14,New York,0.6249,1
within walk distanc tourist attract bed wasnt made cabl didnt work mention expedia didnt mention addit fee upon check,2019-04-14,Fruitvale Tx.,0.3612,1
amaz resort stay close disney park free transport park park connect resort whose amenti use includ pool spa nelison great shuttl driver friendli staff approach alway friendli,2019-04-13,mississauga,0.8126,1
staff incred friendli pillow soft,2019-04-13,Ky,0.0,0
like locat amen shuttl park tranquil,2019-04-13,New York,0.4019,1
properti older well maintain room spaciou comfort pool area love free breakfast would lock us wyndom good eat enough morn justifi charg breakfast amount coffe yogurt,2019-04-13,"Horseheads,NY, us",0.9325,1
